,Format,Mode,ResX,ResY,Resolution
Billet_Face2-500x-Ec.png,PNG,RGB,2048,2044,4186112
Billet_Face2-1000xc.png,PNG,RGB,2048,2044,4186112
Billet_Face2-2000xc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-250xc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-500x-Ac.png,PNG,RGB,2048,2044,4186112
Billet_Face3-500x-Bc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-500x-Cc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-500x-Dc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-500x-Ec.png,PNG,RGB,2048,2044,4186112
Billet_Face3-1000xc.png,PNG,RGB,2048,2044,4186112
Billet_Face3-2000xc.png,PNG,RGB,2048,2044,4186112
201-0c.png,PNG,RGB,822,671,551562
201-0T7-1c.png,PNG,RGB,833,672,559776
201-0T7-2c.png,PNG,RGB,821,671,550891
206-0-1c.png,PNG,RGB,800,546,436800
206-0-2c.png,PNG,RGB,725,614,445150
213-0-1c.png,PNG,RGB,900,728,655200
213-0-2c.png,PNG,RGB,900,751,675900
213-0-3c.png,PNG,RGB,900,744,669600
213-0-4c.png,PNG,RGB,900,728,655200
222-0-1c.png,PNG,RGB,900,728,655200
222-0-2c.png,PNG,RGB,900,718,646200
238-0-1c.png,PNG,RGB,838,654,548052
242-0-1c.png,PNG,RGB,822,805,661710
A260-0-1c.png,PNG,RGB,725,497,360325
A260-0-2c.png,PNG,RGB,725,503,364675
308-0-1c.png,PNG,RGB,837,731,611847
319-0-1c.png,PNG,RGB,837,724,605988
319-0-S1c.png,PNG,RGB,819,718,588042
319-0-U1c.png,PNG,RGB,700,997,697900
319-0-U2c.png,PNG,RGB,702,995,698490
319-0-U3c.png,PNG,RGB,711,1006,715266
319-0-U4c.png,PNG,RGB,712,990,704880
319-0-U5c.png,PNG,RGB,705,987,695835
319-0-U6c.png,PNG,RGB,714,993,709002
319-0-U7c.png,PNG,RGB,708,1004,710832
319-0-U8c.png,PNG,RGB,710,982,697220
328-0-1c.png,PNG,RGB,696,997,693912
354-0-1c.png,PNG,RGB,821,575,472075
354-0-2c.png,PNG,RGB,823,578,475694
354-0-3c.png,PNG,RGB,828,581,481068
355-0-T6-1c.png,PNG,RGB,829,821,680609
355-0-1c.png,PNG,RGB,823,818,673214
355-0-2c.png,PNG,RGB,825,818,674850
