Source,Image Name,Expected,Average Prediction,MAPE,,Worst,,,,Best,,,
Magnesium Dataset,am70_2p5_f_1594,127,131.25,3.23809523809524,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1574,127,123,3.2520325203252,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1602,127,131.3,3.27494287890328,,,,,,,,,
Magnesium Dataset,am50_2p5_1818,109,105.5,3.3175355450237,,,,,,,,,
Magnesium Dataset,am60_2p5_1685,120,116.125,3.33692142088267,,,,,,,,,
Magnesium Dataset,am60_5p0_1637,120,116.125,3.33692142088267,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1553,127,131.416666666667,3.36081166772352,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1627,120,116.083333333333,3.37401292175162,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1576,127,131.55,3.45876092740404,,,,,,,,,
Magnesium Dataset,am40_5p0_1697,107,110.9375,3.54929577464789,,,,,,,,,
Magnesium Dataset,am50_2p5_1810,109,105.25,3.56294536817102,,,,,,,,,
Magnesium Dataset,am40_2p5_1751,107,111,3.6036036036036,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1579,127,131.75,3.60531309297913,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1561,127,131.916666666667,3.72710044219835,,,,,,,,,
Magnesium Dataset,am60_5p0_1640,120,115.666666666667,3.74639769452449,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1584,127,132.0625,3.83341221012778,,,,,,,,,
Magnesium Dataset,am60_2p5_1672,120,115.5,3.8961038961039,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1592,127,122.125,3.99181166837257,,,,,,,,,
Magnesium Dataset,am60_5p0_1642,120,115.375,4.00866738894908,,,,,,,,,
Magnesium Dataset,am40_2p5_1754,107,111.5625,4.08963585434174,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1554,127,132.5,4.15094339622642,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1582,127,132.5,4.15094339622642,,,,,,,,,
Magnesium Dataset,am40_5p0_1700,107,102.7,4.18695228821811,,,,,,,,,
Magnesium Dataset,am50_5p0_1775,109,113.78125,4.20214226860753,,,,,,,,,
Magnesium Dataset,am40_5p0_1694,107,111.75,4.25055928411633,,,,,,,,,
Magnesium Dataset,am60_2p5_1686,120,115.0625,4.29114611624117,,,,,,,,,
Magnesium Dataset,am50_5p0_1769,109,113.95,4.34401053093462,,,,,,,,,
Magnesium Dataset,am40_2p5_1747,107,111.875,4.35754189944134,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1563,127,121.6875,4.36569080636877,,,,,,,,,
Magnesium Dataset,am40_2p5_1723,107,111.9375,4.41094360692351,,,,,,,,,
Magnesium Dataset,am60_2p5_1659,120,125.5625,4.43006470881035,,,,,,,,,
Magnesium Dataset,am50_5p0_1780,109,104.375,4.4311377245509,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1616,127,121.583333333333,4.45510623714874,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1557,127,132.964285714286,4.48562986838572,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1595,127,133.0625,4.55612963832785,,,,,,,,,
Magnesium Dataset,am50_5p0_1771,109,104.25,4.55635491606715,,,,,,,,,
Magnesium Dataset,am50_2p5_1817,109,114.25,4.59518599562363,,,,,,,,,
Magnesium Dataset,am40_2p5_1757,107,102.25,4.64547677261614,,,,,,,,,
Magnesium Dataset,am40_2p5_1737,107,112.4,4.80427046263346,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1580,127,133.458333333333,4.83921323758977,,,,,,,,,
Magnesium Dataset,am50_5p0_1798,109,103.964285714286,4.84369632428719,,,,,,,,,
Magnesium Dataset,am60_2p5_1665,120,126.25,4.95049504950495,,,,,,,,,
Magnesium Dataset,am60_5p0_1647,120,114.3125,4.97539639147075,,,,,,,,,
Magnesium Dataset,am40_2p5_1766,107,112.75,5.09977827050998,,,,,,,,,
Magnesium Dataset,am60_2p5_1681,120,126.5,5.13833992094862,,,,,,,,,
Magnesium Dataset,am60_5p0_1638,120,114.083333333333,5.18626734842952,,,,,,,,,
Magnesium Dataset,am40_2p5_1756,107,101.65,5.26315789473684,,,,,,,,,
Magnesium Dataset,am60_5p0_1654,120,114,5.26315789473684,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1618,127,134.125,5.31220876048462,,,,,,,,,
Magnesium Dataset,am60_2p5_1666,120,113.875,5.37870472008782,,,,,,,,,
Magnesium Dataset,am50_2p5_1819,109,115.2,5.38194444444445,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1599,127,134.333333333333,5.4590570719603,,,,,,,,,
Magnesium Dataset,am60_2p5_1688,120,113.75,5.49450549450549,,,,,,,,,
Magnesium Dataset,am40_2p5_1764,107,113.25,5.51876379690949,,,,,,,,,
Magnesium Dataset,am50_5p0_1797,109,115.45,5.58683412732785,,,,,,,,,
Magnesium Dataset,am50_2p5_1805,109,115.5625,5.67874526771228,,,,,,,,,
Magnesium Dataset,am40_2p5_1730,107,113.5,5.72687224669604,,,,,,,,,
Magnesium Dataset,am60_2p5_1683,120,113.375,5.84343991179713,,,,,,,,,
Magnesium Dataset,am40_2p5_1731,107,113.6875,5.88235294117647,,,,,,,,,
Magnesium Dataset,am50_2p5_1829,109,102.9375,5.88949605343048,,,,,,,,,
Magnesium Dataset,am40_5p0_1695,107,100.8125,6.13763174209548,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1609,127,135.375,6.1865189289012,,,,,,,,,
Magnesium Dataset,am50_2p5_1827,109,116.285714285714,6.26535626535627,,,,,,,,,
Magnesium Dataset,am50_2p5_1803,109,102.416666666667,6.42799023596419,,,,,,,,,
Magnesium Dataset,am40_2p5_1763,107,114.375,6.44808743169399,,,,,,,,,
Magnesium Dataset,am40_2p5_1759,107,114.583333333333,6.61818181818181,,,,,,,,,
Magnesium Dataset,am60_2p5_1662,120,112.416666666667,6.7457375833951,,,,,,,,,
Magnesium Dataset,am60_5p0_1644,120,128.7,6.75990675990675,,,,,,,,,
Magnesium Dataset,am60_2p5_1673,120,128.833333333333,6.85640362225098,,,,,,,,,
Magnesium Dataset,am50_2p5_1823,109,117.3,7.07587382779198,,,,,,,,,
Magnesium Dataset,am40_2p5_1727,107,115.166666666667,7.09117221418235,,,,,,,,,
Magnesium Dataset,am60_2p5_1660,120,129.166666666667,7.09677419354838,,,,,,,,,
Magnesium Dataset,am50_2p5_1802,109,101.75,7.12530712530713,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1578,127,118.55,7.12779417967103,,,,,,,,,
Magnesium Dataset,am60_5p0_1641,120,111.916666666667,7.22263588979895,,,,,,,,,
Magnesium Dataset,am40_2p5_1753,107,115.583333333333,7.42609949531362,,,,,,,,,
Magnesium Dataset,am40_2p5_1746,107,115.75,7.55939524838013,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1562,127,118,7.6271186440678,,,,,,,,,
Magnesium Dataset,am50_2p5_1816,109,118,7.6271186440678,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1596,127,118,7.6271186440678,,,,,,,,,
Magnesium Dataset,am40_2p5_1767,107,115.916666666667,7.6923076923077,,,,,,,,,
Magnesium Dataset,am60_2p5_1690,120,111.25,7.86516853932584,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1590,127,117.625,7.97024442082891,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1635,120,111.125,7.98650168728909,,,,,,,,,
Magnesium Dataset,am50_2p5_1821,109,118.5,8.0168776371308,,,,,,,,,
Magnesium Dataset,am50_5p0_1783,109,100.75,8.18858560794045,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1564,127,138.375,8.22041553748871,,,,,,,,,
Magnesium Dataset,am50_5p0_1776,109,100.65,8.29607550919026,,,,,,,,,
Magnesium Dataset,am50_5p0_1777,109,118.916666666667,8.33917309039944,,,,,,,,,
Magnesium Dataset,am40_2p5_1738,107,116.916666666667,8.48182466143978,,,,,,,,,
Magnesium Dataset,am50_5p0_1778,109,100.416666666667,8.54771784232365,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1559,127,116.785714285714,8.74617737003057,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1558,127,116.75,8.77944325481799,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1565,127,116.666666666667,8.85714285714285,,,,,,,,,
Magnesium Dataset,am60_5p0_1649,120,110.1875,8.90527509926262,,,,,,,,,
Magnesium Dataset,am60_2p5_1676,120,110.166666666667,8.92586989409984,,,,,,,,,
Magnesium Dataset,am40_2p5_1729,107,117.571428571429,8.99149453219927,,,,,,,,,
Magnesium Dataset,am50_2p5_1808,109,99.9642857142857,9.03894247945696,,,,,,,,,
Magnesium Dataset,am40_2p5_1736,107,117.642857142857,9.04675166970249,,,,,,,,,
Magnesium Dataset,am70_5p0_f_1555,127,139.791666666667,9.150521609538,,,,,,,,,
Magnesium Dataset,am40_5p0_1712,107,118.333333333333,9.57746478873239,,,,,,,,,
Magnesium Dataset,am60_5p0_1651,120,109.5,9.58904109589041,,,,,,,,,
Magnesium Dataset,am60_2p5_1680,120,109.4,9.68921389396709,,,,,,,,,
Magnesium Dataset,am50_2p5_1812,109,121,9.91735537190083,,,,,,,,,
Magnesium Dataset,am50_5p0_1793,109,98.9285714285714,10.1805054151625,,,,,,,,,
Magnesium Dataset,am60_5p0_1656,120,107.75,11.368909512761,,,,,,,,,
Magnesium Dataset,am50_2p5_1815,109,123.375,11.6514690982776,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1623,120,106.5,12.6760563380282,,,,,,,,,
Magnesium Dataset,am40_2p5_1749,107,123.25,13.184584178499,,,,,,,,,
Magnesium Dataset,am60_5p0_1636,120,105.4375,13.8114997036159,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1598,127,151.75,16.3097199341021,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1600,127,108.75,16.7816091954023,,,,,,,,,
